scope,market,edge_cutoff,bets,wins,losses,pushes,win_pct,roi_pct_at_minus_110,wilson_95_low_pct,weeks_0_7_roi_pct,weeks_8_plus_roi_pct
All,Spread,0.5,861,451,399,11,53.06,1.29,49.7,1.07,1.58
All,Spread,1.0,804,429,366,9,53.96,3.02,50.49,3.59,2.29
All,Spread,1.5,740,400,331,9,54.72,4.46,51.1,6.16,2.19
All,Spread,2.0,686,366,311,9,54.06,3.21,50.3,4.27,1.77
All,Spread,2.5,619,328,282,9,53.77,2.65,49.8,3.65,1.2
All,Spread,3.0,565,297,260,8,53.32,1.8,49.17,3.18,-0.47
All,Spread,3.5,500,264,228,8,53.66,2.44,49.24,3.41,0.76
All,Spread,4.0,441,236,200,5,54.13,3.34,49.44,3.95,2.08
All,Spread,4.5,403,217,181,5,54.52,4.09,49.61,5.14,1.71
All,Spread,5.0,366,198,163,5,54.85,4.71,49.69,5.64,2.53
All,Spread,5.5,330,184,142,4,56.44,7.75,51.02,8.15,6.74
All,Spread,6.0,299,169,127,3,57.09,9.0,51.4,9.6,7.39
All,Spread,6.5,265,148,115,2,56.27,7.43,50.23,9.92,-0.14
All,Spread,7.0,238,135,101,2,57.2,9.21,50.83,11.19,2.53
All,Spread,7.5,204,116,87,1,57.14,9.09,50.26,11.75,-2.1
All,Spread,8.0,182,106,75,1,58.56,11.8,51.28,14.29,1.07
All,Spread,8.5,164,96,67,1,58.9,12.44,51.22,15.11,-1.01
All,Spread,9.0,148,88,60,0,59.46,13.51,51.41,14.84,5.0
All,Spread,9.5,130,78,52,0,60.0,14.55,51.41,15.51,4.13
All,Spread,10.0,109,65,44,0,59.63,13.84,50.25,14.17,9.09
All,Spread,10.5,101,62,39,0,61.39,17.19,51.64,16.12,43.18
All,Spread,11.0,91,57,34,0,62.64,19.58,52.38,17.15,90.91
All,Spread,11.5,80,47,33,0,58.75,12.16,47.8,9.09,90.91
All,Spread,12.0,72,40,32,0,55.56,6.06,44.09,3.64,90.91
All,Over,0.5,481,248,233,0,51.56,-1.57,47.1,0.23,-3.36
All,Over,1.0,448,233,215,0,52.01,-0.71,47.39,1.99,-3.29
All,Over,1.5,402,212,190,0,52.74,0.68,47.85,1.24,0.13
All,Over,2.0,356,191,165,0,53.65,2.43,48.46,6.65,-1.85
All,Over,2.5,301,162,139,0,53.82,2.75,48.18,9.27,-3.9
All,Over,3.0,255,133,122,0,52.16,-0.43,46.04,6.38,-7.62
All,Over,3.5,223,113,110,0,50.67,-3.26,44.16,3.06,-9.75
All,Over,4.0,194,98,96,0,50.52,-3.56,43.54,3.25,-10.51
All,Over,4.5,171,84,87,0,49.12,-6.22,41.73,-1.25,-11.36
All,Over,5.0,140,67,73,0,47.86,-8.64,39.75,0.76,-18.58
All,Over,5.5,117,55,62,0,47.01,-10.26,38.2,-2.93,-17.71
All,Over,6.0,95,47,48,0,49.47,-5.55,39.64,1.07,-13.22
All,Over,6.5,71,34,37,0,47.89,-8.58,36.68,-4.55,-12.73
All,Over,7.0,52,22,30,0,42.31,-19.23,29.87,-4.55,-36.36
All,Over,7.5,41,18,23,0,43.9,-16.19,29.89,-8.7,-25.76
All,Over,8.0,31,13,18,0,41.94,-19.94,26.42,-10.16,-31.82
All,Over,8.5,26,10,16,0,38.46,-26.57,22.43,-18.18,-36.36
All,Over,9.0,19,7,12,0,36.84,-29.67,19.15,-20.45,-45.45
All,Over,9.5,13,5,8,0,38.46,-26.57,17.71,-28.41,-23.64
All,Over,10.0,11,4,7,0,36.36,-30.58,15.17,-28.41,-36.36
All,Over,10.5,9,4,5,0,44.44,-15.15,18.88,-18.18,-4.55
All,Over,11.0,8,3,5,0,37.5,-28.41,13.68,-18.18,-100.0
All,Over,11.5,7,2,5,0,28.57,-45.45,8.22,-36.36,-100.0
All,Over,12.0,4,1,3,0,25.0,-52.27,4.56,-52.27,0.0
All,Under,0.5,348,194,154,0,55.75,6.43,50.49,6.06,6.96
All,Under,1.0,306,164,142,0,53.59,2.32,48.0,1.75,3.15
All,Under,1.5,272,144,128,0,52.94,1.07,47.01,-2.81,7.05
All,Under,2.0,243,127,116,0,52.26,-0.22,46.0,-6.52,9.09
All,Under,2.5,208,110,98,0,52.88,0.96,46.11,-4.55,9.77
All,Under,3.0,171,88,83,0,51.46,-1.75,44.02,-8.15,8.67
All,Under,3.5,141,74,67,0,52.48,0.19,44.28,-12.05,21.15
All,Under,4.0,113,60,53,0,53.1,1.37,43.95,-16.0,35.65
All,Under,4.5,94,49,45,0,52.13,-0.48,42.15,-16.86,31.25
All,Under,5.0,74,38,36,0,51.35,-1.97,40.18,-18.18,29.82
All,Under,5.5,63,32,31,0,50.79,-3.03,38.76,-19.39,37.88
All,Under,6.0,46,24,22,0,52.17,-0.4,38.14,-16.48,36.36
All,Under,6.5,35,18,17,0,51.43,-1.82,35.57,-4.55,6.06
All,Under,7.0,27,13,14,0,48.15,-8.08,30.74,-13.22,14.55
All,Under,7.5,21,12,9,0,57.14,9.09,36.55,-4.55,90.91
All,Under,8.0,20,11,9,0,55.0,5.0,34.21,-10.16,90.91
All,Under,8.5,17,8,9,0,47.06,-10.16,26.16,-31.82,90.91
All,Under,9.0,16,8,8,0,50.0,-4.55,28.0,-26.57,90.91
All,Under,9.5,12,6,6,0,50.0,-4.55,25.38,-23.64,90.91
All,Under,10.0,10,6,4,0,60.0,14.55,31.27,-4.55,90.91
All,Under,10.5,7,5,2,0,71.43,36.36,35.89,27.27,90.91
All,Under,11.0,7,5,2,0,71.43,36.36,35.89,27.27,90.91
All,Under,11.5,5,4,1,0,80.0,52.73,37.55,52.73,0.0
All,Under,12.0,4,4,0,0,100.0,90.91,51.01,90.91,0.0
FBS-FBS,Spread,0.5,746,388,347,11,52.79,0.78,49.17,0.4,1.16
FBS-FBS,Spread,1.0,693,367,317,9,53.65,2.43,49.91,3.01,1.86
FBS-FBS,Spread,1.5,633,340,284,9,54.49,4.02,50.56,6.26,1.69
FBS-FBS,Spread,2.0,584,311,264,9,54.09,3.26,50.0,5.19,1.23
FBS-FBS,Spread,2.5,521,276,236,9,53.91,2.91,49.58,5.04,0.56
FBS-FBS,Spread,3.0,470,247,215,8,53.46,2.07,48.9,4.74,-1.29
FBS-FBS,Spread,3.5,414,218,188,8,53.69,2.51,48.83,4.96,-0.73
FBS-FBS,Spread,4.0,359,192,162,5,54.24,3.54,49.03,5.67,0.26
FBS-FBS,Spread,4.5,322,173,144,5,54.57,4.19,49.07,6.91,-0.47
FBS-FBS,Spread,5.0,292,157,130,5,54.7,4.43,48.92,6.87,0.09
FBS-FBS,Spread,5.5,259,143,112,4,56.08,7.06,49.94,8.6,4.13
FBS-FBS,Spread,6.0,234,132,99,3,57.14,9.09,50.7,11.36,4.36
FBS-FBS,Spread,6.5,203,112,89,2,55.72,6.38,48.81,11.03,-4.55
FBS-FBS,Spread,7.0,179,101,76,2,57.06,8.94,49.7,13.35,-2.6
FBS-FBS,Spread,7.5,147,83,63,1,56.85,8.53,48.74,14.2,-10.16
FBS-FBS,Spread,8.0,130,75,54,1,58.14,10.99,49.51,16.45,-7.84
FBS-FBS,Spread,8.5,114,66,47,1,58.41,11.5,49.19,17.48,-13.22
FBS-FBS,Spread,9.0,99,58,41,0,58.59,11.85,48.74,15.91,-10.91
FBS-FBS,Spread,9.5,83,50,33,0,60.24,15.01,49.48,18.06,-18.18
FBS-FBS,Spread,10.0,70,43,27,0,61.43,17.27,49.72,19.32,-4.55
FBS-FBS,Spread,10.5,64,41,23,0,64.06,22.3,51.82,20.91,43.18
FBS-FBS,Spread,11.0,56,36,20,0,64.29,22.73,51.19,18.87,90.91
