scope,market,edge_cutoff,bets,wins,losses,pushes,win_pct,roi_pct_at_minus_110,wilson_95_low_pct,weeks_0_7_roi_pct,weeks_8_plus_roi_pct
All,Spread,0.5,861,451,399,11,53.06,1.29,49.7,1.07,1.58
All,Spread,1.0,804,429,366,9,53.96,3.02,50.49,3.59,2.29
All,Spread,1.5,740,400,331,9,54.72,4.46,51.1,6.16,2.19
All,Spread,2.0,686,366,311,9,54.06,3.21,50.3,4.27,1.77
All,Spread,2.5,619,328,282,9,53.77,2.65,49.8,3.65,1.2
All,Spread,3.0,565,297,260,8,53.32,1.8,49.17,3.18,-0.47
All,Spread,3.5,500,264,228,8,53.66,2.44,49.24,3.41,0.76
All,Spread,4.0,441,236,200,5,54.13,3.34,49.44,3.95,2.08
All,Spread,4.5,403,217,181,5,54.52,4.09,49.61,5.14,1.71
All,Spread,5.0,366,198,163,5,54.85,4.71,49.69,5.64,2.53
All,Spread,5.5,330,184,142,4,56.44,7.75,51.02,8.15,6.74
All,Spread,6.0,299,169,127,3,57.09,9.0,51.4,9.6,7.39
All,Spread,6.5,265,148,115,2,56.27,7.43,50.23,9.92,-0.14
All,Spread,7.0,238,135,101,2,57.2,9.21,50.83,11.19,2.53
All,Spread,7.5,204,116,87,1,57.14,9.09,50.26,11.75,-2.1
All,Spread,8.0,182,106,75,1,58.56,11.8,51.28,14.29,1.07
All,Spread,8.5,164,96,67,1,58.9,12.44,51.22,15.11,-1.01
All,Spread,9.0,148,88,60,0,59.46,13.51,51.41,14.84,5.0
All,Spread,9.5,130,78,52,0,60.0,14.55,51.41,15.51,4.13
All,Spread,10.0,109,65,44,0,59.63,13.84,50.25,14.17,9.09
All,Spread,10.5,101,62,39,0,61.39,17.19,51.64,16.12,43.18
All,Spread,11.0,91,57,34,0,62.64,19.58,52.38,17.15,90.91
All,Spread,11.5,80,47,33,0,58.75,12.16,47.8,9.09,90.91
All,Spread,12.0,72,40,32,0,55.56,6.06,44.09,3.64,90.91
All,Over,0.5,555,254,301,0,45.77,-12.63,41.66,-10.45,-15.32
All,Over,1.0,535,249,286,0,46.54,-11.15,42.35,-8.72,-14.17
All,Over,1.5,518,241,277,0,46.53,-11.18,42.27,-7.88,-15.24
All,Over,2.0,502,235,267,0,46.81,-10.63,42.49,-6.96,-15.15
All,Over,2.5,479,223,256,0,46.56,-11.12,42.13,-7.37,-15.96
All,Over,3.0,470,218,252,0,46.38,-11.45,41.92,-7.81,-16.07
All,Over,3.5,453,213,240,0,47.02,-10.23,42.47,-6.42,-15.15
All,Over,4.0,431,202,229,0,46.87,-10.53,42.2,-6.87,-15.38
All,Over,4.5,410,194,216,0,47.32,-9.67,42.53,-6.97,-13.32
All,Over,5.0,385,176,209,0,45.71,-12.73,40.8,-10.57,-15.67
All,Over,5.5,369,170,199,0,46.07,-12.05,41.05,-9.48,-15.56
All,Over,6.0,355,162,193,0,45.63,-12.88,40.53,-10.11,-16.72
All,Over,6.5,336,155,181,0,46.13,-11.93,40.87,-8.4,-17.0
All,Over,7.0,317,148,169,0,46.69,-10.87,41.27,-7.13,-16.12
All,Over,7.5,295,137,158,0,46.44,-11.34,40.83,-7.76,-16.78
All,Over,8.0,279,131,148,0,46.95,-10.36,41.18,-7.44,-14.59
All,Over,8.5,263,123,140,0,46.77,-10.72,40.83,-6.37,-17.15
All,Over,9.0,242,116,126,0,47.93,-8.49,41.72,-4.55,-14.92
All,Over,9.5,228,110,118,0,48.25,-7.89,41.84,-4.55,-13.42
All,Over,10.0,212,103,109,0,48.58,-7.25,41.94,-3.08,-13.86
All,Over,10.5,200,96,104,0,48.0,-8.36,41.18,-4.55,-14.34
All,Over,11.0,192,92,100,0,47.92,-8.52,40.96,-3.73,-16.0
All,Over,11.5,182,88,94,0,48.35,-7.69,41.2,-2.84,-15.45
All,Over,12.0,173,81,92,0,46.82,-10.61,39.54,-6.35,-17.37
All,Under,0.5,334,157,177,0,47.01,-10.26,41.72,-12.58,-7.2
All,Under,1.0,318,148,170,0,46.54,-11.15,41.13,-11.48,-10.73
All,Under,1.5,298,141,157,0,47.32,-9.67,41.72,-11.28,-7.53
All,Under,2.0,287,132,155,0,45.99,-12.2,40.32,-14.38,-9.24
All,Under,2.5,279,128,151,0,45.88,-12.41,40.13,-15.15,-8.62
All,Under,3.0,255,118,137,0,46.27,-11.66,40.26,-14.86,-7.22
All,Under,3.5,233,108,125,0,46.35,-11.51,40.06,-12.44,-10.27
All,Under,4.0,218,101,117,0,46.33,-11.55,39.83,-11.42,-11.73
All,Under,4.5,207,93,114,0,44.93,-14.23,38.31,-14.25,-14.2
All,Under,5.0,191,86,105,0,45.03,-14.04,38.14,-12.73,-15.64
All,Under,5.5,181,79,102,0,43.65,-16.68,36.63,-13.05,-21.25
All,Under,6.0,171,73,98,0,42.69,-18.5,35.52,-15.6,-22.13
All,Under,6.5,156,67,89,0,42.95,-18.01,35.44,-15.39,-21.39
All,Under,7.0,145,63,82,0,43.45,-17.05,35.65,-11.53,-24.24
All,Under,7.5,134,58,76,0,43.28,-17.37,35.2,-11.89,-25.0
All,Under,8.0,122,52,70,0,42.62,-18.63,34.2,-14.86,-24.43
All,Under,8.5,112,48,64,0,42.86,-18.18,34.08,-14.52,-23.64
All,Under,9.0,100,43,57,0,43.0,-17.91,33.73,-14.42,-22.73
All,Under,9.5,93,40,53,0,43.01,-17.89,33.42,-11.62,-26.57
All,Under,10.0,83,36,47,0,43.37,-17.2,33.24,-4.55,-34.55
All,Under,10.5,79,34,45,0,43.04,-17.84,32.69,-4.55,-36.36
All,Under,11.0,76,33,43,0,43.42,-17.11,32.86,-4.55,-36.36
All,Under,11.5,66,27,39,0,40.91,-21.9,29.87,-9.32,-41.26
All,Under,12.0,61,25,36,0,40.98,-21.76,29.54,-14.59,-33.6
FBS-FBS,Spread,0.5,746,388,347,11,52.79,0.78,49.17,0.4,1.16
FBS-FBS,Spread,1.0,693,367,317,9,53.65,2.43,49.91,3.01,1.86
FBS-FBS,Spread,1.5,633,340,284,9,54.49,4.02,50.56,6.26,1.69
FBS-FBS,Spread,2.0,584,311,264,9,54.09,3.26,50.0,5.19,1.23
FBS-FBS,Spread,2.5,521,276,236,9,53.91,2.91,49.58,5.04,0.56
FBS-FBS,Spread,3.0,470,247,215,8,53.46,2.07,48.9,4.74,-1.29
FBS-FBS,Spread,3.5,414,218,188,8,53.69,2.51,48.83,4.96,-0.73
FBS-FBS,Spread,4.0,359,192,162,5,54.24,3.54,49.03,5.67,0.26
FBS-FBS,Spread,4.5,322,173,144,5,54.57,4.19,49.07,6.91,-0.47
FBS-FBS,Spread,5.0,292,157,130,5,54.7,4.43,48.92,6.87,0.09
FBS-FBS,Spread,5.5,259,143,112,4,56.08,7.06,49.94,8.6,4.13
FBS-FBS,Spread,6.0,234,132,99,3,57.14,9.09,50.7,11.36,4.36
FBS-FBS,Spread,6.5,203,112,89,2,55.72,6.38,48.81,11.03,-4.55
FBS-FBS,Spread,7.0,179,101,76,2,57.06,8.94,49.7,13.35,-2.6
FBS-FBS,Spread,7.5,147,83,63,1,56.85,8.53,48.74,14.2,-10.16
FBS-FBS,Spread,8.0,130,75,54,1,58.14,10.99,49.51,16.45,-7.84
FBS-FBS,Spread,8.5,114,66,47,1,58.41,11.5,49.19,17.48,-13.22
FBS-FBS,Spread,9.0,99,58,41,0,58.59,11.85,48.74,15.91,-10.91
FBS-FBS,Spread,9.5,83,50,33,0,60.24,15.01,49.48,18.06,-18.18
FBS-FBS,Spread,10.0,70,43,27,0,61.43,17.27,49.72,19.32,-4.55
FBS-FBS,Spread,10.5,64,41,23,0,64.06,22.3,51.82,20.91,43.18
